coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 7, 6, 1, -6]",[1],-1054111,S_4,1,True
"[1, 7, 6, 1, -5]",[1],-722088,S_4,1,True
"[1, 7, 6, 1, -4]","[1, 0]",-454631,S_4,1,True
"[1, 7, 6, 1, -3]",[2],-250204,S_4,1/4,False
"[1, 7, 6, 1, -2]",[1],-107271,S_4,1,True
"[1, 7, 6, 1, -1]",[2],-24296,S_4,1,True
"[1, 7, 6, 1, 2]","[0, 2]",-119759,S_4,1,True
"[1, 7, 6, 1, 3]",[1],-261256,S_4,1,True
"[1, 7, 6, 1, 4]",[1],-455031,S_4,1,True
"[1, 7, 6, 1, 5]",[2],-699548,D_4,1/4,False
"[1, 7, 6, 1, 7]",[2],-1334664,S_4,1,True
"[1, 7, 6, 1, 8]",[1],-1722191,S_4,1,True
"[1, 7, 6, 2, -8]",[1],-2154784,S_4,1/4,False
"[1, 7, 6, 2, -7]",[1],-1650267,S_4,1/9,False
"[1, 7, 6, 2, -6]",[1],-1216076,S_4,1,True
"[1, 7, 6, 2, -5]","[2, 0]",-850675,S_4,1/25,False
"[1, 7, 6, 2, -4]",[1],-552528,S_4,1/4,False
"[1, 7, 6, 2, -3]",[1],-320099,S_4,1,True
"[1, 7, 6, 2, -2]",[1],-151852,S_4,1,True
"[1, 7, 6, 2, -1]",[2],-46251,S_4,1,True
"[1, 7, 6, 2, 1]",[3],-16843,S_4,1,True
"[1, 7, 6, 2, 3]",[2],-219587,S_4,1,True
"[1, 7, 6, 2, 4]",[1],-404176,S_4,1/4,False
"[1, 7, 6, 2, 5]",[1],-642195,S_4,1,True
"[1, 7, 6, 2, 6]","[0, 1]",-932108,S_4,1,True
"[1, 7, 6, 2, 7]",[1],-1272379,S_4,1,True
"[1, 7, 6, 2, 8]",[2],-1661472,S_4,1/4,False
"[1, 7, 6, 3, -8]",[1],-2407631,S_4,1,True
"[1, 7, 6, 3, -7]",[1],-1863220,S_4,1,True
"[1, 7, 6, 3, -6]",[1],-1391823,S_4,1,True
"[1, 7, 6, 3, -5]",[1],-991904,S_4,1/4,False
"[1, 7, 6, 3, -4]",[2],-661927,S_4,1,True
"[1, 7, 6, 3, -3]",[1],-400356,S_4,1,True
"[1, 7, 6, 3, -2]","[1, 0]",-205655,S_4,1,True
"[1, 7, 6, 3, -1]",[2],-76288,S_4,1/64,False
"[1, 7, 6, 3, 1]",[2],-7412,S_4,1,True
"[1, 7, 6, 3, 2]",[2],-64831,S_4,1,True
"[1, 7, 6, 3, 4]",[2],-355703,S_4,1,True
"[1, 7, 6, 3, 5]",[1],-586084,S_4,1,True
"[1, 7, 6, 3, 6]",[1],-871047,S_4,1,True
